stop_point_id,lat,lon,name,first_stop_area_id,osm:alt_name,osm:amenity,osm:bench,osm:bus,osm:covered,osm:created_by,osm:fixme,osm:highway,osm:local_ref,osm:name,osm:name:en,osm:network,osm:note,osm:official_status,osm:operator,osm:public_transport,osm:ref,osm:shelter,osm:source,osm:station,osm:tactile_paving,osm:taxi,osm:tourism,osm:wheelchair
StopPoint:node:5079630605,5.5817651999999995,-0.1591396,Soul Clinic,,,,,yes,,,,bus_stop,,Soul Clinic,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079630606,5.587343,-0.16191519999999998,Congo Junction,,,,,yes,,,,bus_stop,,Congo Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079677921,5.5870842,-0.1720888,El-Wak,,,,,yes,,,,bus_stop,,El-Wak,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079677922,5.582496,-0.1592614,Soul Clinic,,,,,yes,,,,bus_stop,,Soul Clinic,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079677923,5.5694650999999995,-0.1474018,Trade Fair,,,,,yes,,,,bus_stop,,Trade Fair,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079677924,5.564131199999999,-0.14372179999999998,T-Junction Curve,,,,,yes,,,,bus_stop,,T-Junction Curve,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5079677925,5.600164899999999,-0.08038759999999999,Bank,,,,,yes,,,,bus_stop,,Bank,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543195,5.5918437,-0.20468519999999998,Kotobabi Police Station,,,,,yes,,,,bus_stop,,Kotobabi Police Station,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543196,5.5927096,-0.2056691,CJ School,,,,,yes,,,,bus_stop,,CJ School,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543197,5.593716499999999,-0.2067663,Prempeh,,,,,yes,,,,bus_stop,,Prempeh,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543198,5.5946942,-0.2076808,Kotobabi Night Market,,,,,yes,,,,bus_stop,,Kotobabi Night Market,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543199,5.5962339,-0.20972179999999999,Modest,,,,,yes,,,,bus_stop,,Modest,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543200,5.5983469999999995,-0.212226,Polo Junction,,,,,yes,,,,bus_stop,,Polo Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543201,5.598499299999999,-0.21451779999999998,Alajo Blue Kiosk,,,,,yes,,,,bus_stop,,Alajo Blue Kiosk,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543202,5.5952385,-0.2167767,Sarbah Junction,,,,,yes,,,,bus_stop,,Sarbah Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082543203,5.5905534,-0.21806599999999998,Alajo Junction,,,,,yes,,,,bus_stop,,Alajo Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082556330,5.5920054,-0.20478259999999998,Kotobabi Police Station,,,,,yes,,,,bus_stop,,Kotobabi Police Station,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082556331,5.5985534999999995,-0.21359109999999998,Merciful Hotel,,,,,yes,,,,bus_stop,,Merciful Hotel,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082556332,5.5984628999999995,-0.2123745,Polo Junction,,,,,yes,,,,bus_stop,,Polo Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082556333,5.596353199999999,-0.2097089,Modest,,,,,yes,,,,bus_stop,,Modest,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082556334,5.5951637,-0.20822179999999998,Social,,,,,yes,,,,bus_stop,,Social,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082613245,5.5457735,-0.215753,Arena,,,,,yes,,,,bus_stop,,Arena,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082619899,5.5512025,-0.2216032,Market,,,,,yes,,,,bus_stop,,Market,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082619900,5.552669,-0.22323869999999998,Seconds,,,,,yes,,,,bus_stop,,Seconds,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082971645,5.5420115999999995,-0.2156498,Palledium,,,,,yes,,,,bus_stop,,Palledium,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993455,5.5480244999999995,-0.21806299999999998,Galloway,,,,,yes,,,,bus_stop,,Galloway,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993456,5.5550324,-0.2253995,Sabolai,,,,,yes,,,,bus_stop,,Sabolai,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993457,5.5559064,-0.2336468,Abossey Okai junction,,,,,yes,,,,bus_stop,,Abossey Okai junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993458,5.5567354,-0.2373808,Great Lamptey,,,,,yes,,,,bus_stop,,Great Lamptey,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993459,5.557476599999999,-0.2405444,Zongo junction,,,,,yes,,,,bus_stop,,Zongo junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993460,5.5581545,-0.2435292,Block Factory junction,,,,,yes,,,,bus_stop,,Block Factory junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5082993461,5.5583181,-0.2444151,Seven great junction,,,,,yes,,,,bus_stop,,Seven great junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083057445,5.5580165,-0.1822972,Shell,,,,,yes,,,,bus_stop,,Shell,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083057446,5.5480827,-0.2015402,Tema station,,,,,yes,,,,bus_stop,,Tema station,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083117565,5.5543081999999995,-0.1836159,Osu Salem,,,,,yes,,,,bus_stop,,Osu Salem,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083164018,5.533956,-0.23974009999999998,Mamprobi Police Station,,,,,yes,,,,bus_stop,,Mamprobi Police Station,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083164019,5.5435678,-0.21624089999999999,Timber Market,,,,,yes,,,,bus_stop,,Timber Market,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083198037,5.5477777999999995,-0.2177288,Galloway,,,,,yes,,,,bus_stop,,Galloway,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083251759,5.5841501,-0.23807419999999999,Asoredanho,,,,,yes,,,,bus_stop,,Asoredanho,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083251760,5.57111,-0.2298287,Kaneshie Roundabout,,,,,yes,,,,bus_stop,,Kaneshie Roundabout,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083477301,5.5416013,-0.21543579999999998,Palledium,,,,,yes,,,,bus_stop,,Palledium,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083477302,5.535950199999999,-0.2134198,Roundabout,,,,,yes,,,,bus_stop,,Roundabout,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083477303,5.5354944999999995,-0.2147935,Accra Royal,,,,,yes,,,,bus_stop,,Accra Royal,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083477304,5.529311,-0.2276452,Korle beach resort junction,,,,,yes,,,,bus_stop,,Korle beach resort junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083501064,5.526985,-0.2416824,Tea Garden,,,,,yes,,,,bus_stop,,Tea Garden,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083501065,5.527304099999999,-0.23807769999999998,Tei Abaa,,,,,yes,,,,bus_stop,,Tei Abaa,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083501066,5.5299358,-0.22490759999999999,Korle gonno shell,,,,,yes,,,,bus_stop,,Korle gonno shell,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083501067,5.535468799999999,-0.2149929,Accra Royal,,,,,yes,,,,bus_stop,,Accra Royal,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5083501068,5.536136,-0.2135751,Jamestown Police Station,,,,,yes,,,,bus_stop,,Jamestown Police Station,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084236789,5.6000976,-0.2183596,Alajo,,,,,yes,,,,bus_stop,,Alajo,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325649,5.6422583,-0.345837,Manhean,,,,,yes,,,,bus_stop,,Manhean,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325650,5.6430676,-0.3448599,Junction,,,,,yes,,,,bus_stop,,Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325651,5.6426378,-0.3413544,Alavanyo,,,,,yes,,,,bus_stop,,Alavanyo,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325652,5.642102599999999,-0.3389308,Nuumo Tse,,,,,yes,,,,bus_stop,,Nuumo Tse,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325653,5.6416207,-0.33655959999999996,Twibleoo,,,,,yes,,,,bus_stop,,Twibleoo,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325654,5.639896299999999,-0.33367359999999996,Oduman,,,,,yes,,,,bus_stop,,Oduman,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325655,5.6386292,-0.3322688,Waakye,,,,,yes,,,,bus_stop,,Waakye,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325656,5.6377213,-0.3314719,Mangoase,,,,,yes,,,,bus_stop,,Mangoase,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325657,5.635304,-0.32837489999999997,Paradise,,,,,yes,,,,bus_stop,,Paradise,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325658,5.6336623999999995,-0.3263449,Point 5,,,,,yes,,,,bus_stop,,Point 5,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325659,5.6322668,-0.32443839999999996,Ablekuma Block Factory,,,,,yes,,,,bus_stop,,Ablekuma Block Factory,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325660,5.6316850999999994,-0.3235555,Ablekuma CP,,,,,yes,,,,bus_stop,,Ablekuma CP,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325661,5.6290685,-0.3201353,Bokorbokor,,,,,yes,,,,bus_stop,,Bokorbokor,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325662,5.6273138,-0.313538,Ablekuma Park,,,,,yes,,,,bus_stop,,Ablekuma Park,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325663,5.6269624,-0.30873649999999997,Ablekuma Junction,,,,,yes,,,,bus_stop,,Ablekuma Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325664,5.625876,-0.3067395,Pentecost Junction,,,,,yes,,,,bus_stop,,Pentecost Junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325665,5.6234872,-0.30220589999999997,Galilee,,,,,yes,,,,bus_stop,,Galilee,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325666,5.6203528,-0.2963368,Block Factory,,,,,yes,,,,bus_stop,,Block Factory,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325667,5.6187165,-0.29454569999999997,CP,,,,,yes,,,,bus_stop,,CP,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325668,5.616445499999999,-0.29427149999999996,Nsunfa,,,,,yes,,,,bus_stop,,Nsunfa,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325669,5.6078144,-0.296444,Anyah Last Stop,,,,,yes,,,,bus_stop,,Anyah Last Stop,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325670,5.6059551,-0.29513259999999997,Academy,,,,,yes,,,,bus_stop,,Academy,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325671,5.6050824,-0.2945155,Anyaa,,,,,yes,,,,bus_stop,,Anyaa,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325672,5.596397,-0.2896446,Nii Bortey,,,,,yes,,,,bus_stop,,Nii Bortey,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325673,5.5935559,-0.2885705,Calvary,,,,,yes,,,,bus_stop,,Calvary,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084325674,5.5585233999999994,-0.2244496,Rana motors,,,,,yes,,,,bus_stop,,Rana motors,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413301,5.5861833,-0.2781256,Awoshie Amangoase,,,,,yes,,,,bus_stop,,Awoshie Amangoase,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413302,5.6416429,-0.3372154,Twibleoo,,,,,yes,,,,bus_stop,,Twibleoo,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413303,5.578271099999999,-0.2580518,Glory Land,,,,,yes,,,,bus_stop,,Glory Land,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413304,5.579598799999999,-0.2601827,Waterworks junction,,,,,yes,,,,bus_stop,,Waterworks junction,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413305,5.57471,-0.2769539,Chabaar,,,,,yes,,,,bus_stop,,Chabaar,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413306,5.5845541999999995,-0.27512749999999997,Awoshie Vineyard,,,,,yes,,,,bus_stop,,Awoshie Vineyard,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413307,5.5886559,-0.2824024,Abrantie,,,,,yes,,,,bus_stop,,Abrantie,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413308,5.5902859,-0.2851295,Awoshie Onyinase,,,,,yes,,,,bus_stop,,Awoshie Onyinase,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413309,5.595059,-0.28956329999999997,Calvary,,,,,yes,,,,bus_stop,,Calvary,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413310,5.5972881,-0.29038169999999996,Nii Bortey,,,,,yes,,,,bus_stop,,Nii Bortey,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413311,5.6202936999999995,-0.29721549999999997,Block Factory,,,,,yes,,,,bus_stop,,Block Factory,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
StopPoint:node:5084413312,5.6272525,-0.3137801,Ablekuma Park,,,,,yes,,,,bus_stop,,Ablekuma Park,,,,,,platform,,,survey summer 2017 - AccraMobile3 project,,,,,
